city,neighbourhood_cleansed,total_listings,avg_occupancy,median_price,commercial_pct,licensed_pct,avg_availability,avg_reviews,occupancy_rate,total_listings_norm,avg_occupancy_norm,commercial_pct_norm,activity_score
chicago,South Lawndale,48,112.02,105.0,0.69,0.79,216.92,4.71,0.307,0.03602726387536514,0.8983135415627183,0.6710526315789473,0.508
chicago,South Shore,117,39.16,107.0,0.62,0.66,245.53,4.62,0.107,0.10321324245374879,0.17124039517014267,0.5789473684210527,0.226
chicago,Uptown,178,116.46,145.5,0.67,0.84,199.37,4.82,0.319,0.1626095423563778,0.9426204969563916,0.6447368421052632,0.571
chicago,Washington Heights,17,78.47,147.0,0.35,0.82,289.0,4.78,0.215,0.005842259006815969,0.5635166151082727,0.22368421052631576,0.272
chicago,Washington Park,53,84.57,139.0,0.68,0.7,207.96,4.77,0.232,0.04089581304771178,0.6243887835545354,0.6578947368421053,0.398
chicago,West Englewood,20,48.55,63.0,0.7,0.55,300.6,4.64,0.133,0.008763388510223954,0.26494361840135716,0.6842105263157895,0.246
chicago,West Garfield Park,21,95.67,87.0,0.67,0.76,267.9,4.32,0.262,0.009737098344693282,0.7351561720387187,0.6447368421052632,0.427
chicago,West Lawn,15,111.8,96.0,0.67,0.27,280.0,4.81,0.306,0.0038948393378773127,0.8961181518810498,0.6447368421052632,0.489
chicago,West Ridge,114,72.27,119.0,0.55,0.83,227.12,4.73,0.198,0.1002921129503408,0.5016465422612514,0.48684210526315796,0.338
chicago,West Town,765,108.56,192.0,0.66,0.82,214.56,4.84,0.297,0.7341772151898734,0.8637860492964775,0.6315789473684211,0.766
chicago,Woodlawn,216,57.81,86.0,0.65,0.66,238.37,4.74,0.158,0.19961051606621227,0.35734956591158573,0.618421052631579,0.346
los-angeles,Acton,16,33.25,125.5,0.19,0.0,229.62,4.91,0.091,0.003246753246753247,0.22093601306725374,0.19,0.128
los-angeles,Adams-Normandie,66,41.32,57.0,0.8,0.24,225.44,4.81,0.113,0.030303030303030304,0.27824728357360984,0.8,0.283
los-angeles,Agoura Hills,50,32.96,285.0,0.56,0.0,227.78,4.85,0.09,0.021645021645021644,0.2188765002485619,0.56,0.208
los-angeles,Agua Dulce,22,31.36,126.0,0.36,0.0,287.55,4.95,0.086,0.006493506493506494,0.2075136709040551,0.36,0.158
los-angeles,Alhambra,729,99.26,125.0,0.82,0.0,203.61,4.76,0.272,0.38906926406926406,0.6897237412115617,0.82,0.596
los-angeles,Alondra Park,19,142.95,136.5,0.47,0.0,261.79,4.93,0.392,0.00487012987012987,1.0,0.47,0.496
los-angeles,Altadena,125,37.86,176.5,0.41,0.02,156.73,4.85,0.104,0.06222943722943723,0.2536751651161139,0.41,0.208
los-angeles,Arcadia,184,41.93,103.0,0.73,0.0,192.7,4.77,0.115,0.09415584415584416,0.282579362261203,0.73,0.297
los-angeles,Arlington Heights,111,49.43,47.0,0.79,0.26,234.64,4.83,0.135,0.054653679653679656,0.33584262481357857,0.79,0.314
los-angeles,Artesia,24,92.5,77.0,0.58,0.0,235.5,4.71,0.253,0.007575757575757576,0.6417157872310205,0.58,0.376
los-angeles,Athens,21,60.76,127.0,0.48,0.0,207.81,4.86,0.166,0.005952380952380952,0.4163056601093672,0.48,0.265
los-angeles,Atwater Village,112,91.09,138.0,0.43,0.48,175.2,4.89,0.25,0.05519480519480519,0.6317022938711739,0.43,0.361
los-angeles,Avalon,249,67.13,547.0,0.84,0.0,208.33,4.63,0.184,0.12932900432900432,0.46154392443718484,0.84,0.404
los-angeles,Avocado Heights,27,52.67,98.5,0.78,0.0,237.74,4.67,0.144,0.0091991341991342,0.3588523542362048,0.78,0.303
los-angeles,Azusa,113,71.13,118.0,0.71,0.0,236.28,4.8,0.195,0.055735930735930736,0.48995099779845175,0.71,0.36
los-angeles,Baldwin Hills/Crenshaw,107,53.67,121.0,0.49,0.49,205.44,4.68,0.147,0.05248917748917749,0.36595412257652155,0.49,0.265
los-angeles,Baldwin Park,153,102.24,84.0,0.74,0.0,239.12,4.78,0.28,0.07738095238095238,0.7108870108657055,0.74,0.463
los-angeles,Bel-Air,84,20.57,1596.0,0.79,0.62,245.1,4.9,0.056,0.04004329004329004,0.1308855905120375,0.79,0.226
los-angeles,Bell,19,110.84,101.5,0.68,0.0,214.53,4.87,0.304,0.00487012987012987,0.7719622185924295,0.68,0.447
los-angeles,Bell Gardens,12,71.17,57.5,0.67,0.0,260.67,4.8,0.195,0.0010822510822510823,0.4902350685320645,0.67,0.331
los-angeles,Bellflower,82,67.15,141.5,0.54,0.0,219.3,4.55,0.184,0.03896103896103896,0.46168595980399124,0.54,0.308
los-angeles,Beverly Crest,228,34.17,1058.5,0.67,0.6,253.81,4.87,0.094,0.11796536796536797,0.22746963994034516,0.67,0.272
los-angeles,Beverly Grove,577,32.73,237.0,0.67,0.36,236.98,4.76,0.09,0.3068181818181818,0.217243093530289,0.67,0.344
