RegionID,RegionName,StateName,State,Metro,date,rent,city
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-06-30,1663.8512601234338,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-06-30,1265.638411453342,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-06-30,1816.5838246662263,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-07-31,2776.8909250242173,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-07-31,2089.8098110857127,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-07-31,1666.2019429915993,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-07-31,1264.4917663318924,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-07-31,1826.1359833860515,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-08-31,2781.004029624604,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-08-31,2097.487488081932,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-08-31,1659.6968754628876,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-08-31,1262.4934676314697,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-08-31,1832.9780697442377,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-09-30,2772.7662874439866,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-09-30,2099.3417594521625,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-09-30,1650.4304688721309,chicago
10221,Austin,TX,TX,"Austin-Round Rock-Georgetown, TX",2017-09-30,1254.5099263312604,austin
16037,Seattle,WA,WA,"Seattle-Tacoma-Bellevue, WA",2017-09-30,1828.0246295986776,seattle
6181,New York,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",2017-10-31,2752.580998856183,new-york-city
12447,Los Angeles,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",2017-10-31,2103.0409148983053,los-angeles
17426,Chicago,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",2017-10-31,1635.581652016805,chicago
